episode,t,obs,act,rew
0,0,"(0, 9)",1,-0.33
0,1,"(1, 9)",1,-0.33
0,2,"(2, 9)",1,-0.33
0,3,"(3, 9)",1,-0.33
0,4,"(4, 9)",1,-0.33
0,5,"(5, 9)",1,-0.33
0,6,"(6, 9)",1,-0.33
0,7,"(7, 9)",1,-0.33
0,8,"(8, 9)",1,-0.33
0,9,"(9, 9)",1,-0.33
0,10,"(10, 9)",0,-0.33
0,11,"(10, 8)",0,-0.33
0,12,"(10, 7)",1,-0.33
0,13,"(11, 7)",0,-0.33
0,14,"(11, 6)",0,-0.33
0,15,"(11, 5)",0,-0.33
0,16,"(11, 4)",0,-0.33
0,17,"(11, 3)",1,-0.33
0,18,"(12, 3)",1,-0.33
0,19,"(13, 3)",0,-0.33
0,20,"(13, 2)",0,-0.33
0,21,"(13, 1)",1,-0.33
0,22,"(14, 1)",1,-0.33
0,23,"(15, 1)",1,-0.33
0,24,"(16, 1)",1,-0.33
0,25,"(17, 1)",2,-0.33
0,26,"(17, 2)",2,-0.33
0,27,"(17, 3)",1,-0.33
0,28,"(18, 3)",1,-0.33
0,29,"(19, 3)",0,-0.33
0,30,"(19, 2)",0,-0.33
0,31,"(19, 1)",0,33.33
1,0,"(0, 9)",1,-0.33
1,1,"(1, 9)",1,-0.33
1,2,"(2, 9)",1,-0.33
1,3,"(3, 9)",1,-0.33
1,4,"(4, 9)",1,-0.33
1,5,"(5, 9)",0,-0.33
1,6,"(5, 8)",0,-0.33
1,7,"(5, 7)",1,-0.33
1,8,"(6, 7)",1,-0.33
1,9,"(7, 7)",1,-0.33
1,10,"(8, 7)",1,-0.33
1,11,"(9, 7)",1,-0.33
1,12,"(10, 7)",1,-0.33
1,13,"(11, 7)",0,-0.33
1,14,"(11, 6)",0,-0.33
1,15,"(11, 5)",0,-0.33
1,16,"(11, 4)",0,-0.33
1,17,"(11, 3)",1,-0.33
1,18,"(12, 3)",1,-0.33
1,19,"(13, 3)",0,-0.33
1,20,"(13, 2)",0,-0.33
1,21,"(13, 1)",1,-0.33
1,22,"(14, 1)",1,-0.33
1,23,"(15, 1)",1,-0.33
1,24,"(16, 1)",1,-0.33
1,25,"(17, 1)",2,-0.33
1,26,"(17, 2)",2,-0.33
1,27,"(17, 3)",1,-0.33
1,28,"(18, 3)",1,-0.33
1,29,"(19, 3)",0,-0.33
1,30,"(19, 2)",0,-0.33
1,31,"(19, 1)",0,33.33
2,0,"(0, 9)",1,-0.33
2,1,"(1, 9)",1,-0.33
2,2,"(2, 9)",1,-0.33
2,3,"(3, 9)",1,-0.33
2,4,"(4, 9)",1,-0.33
2,5,"(5, 9)",0,-0.33
2,6,"(5, 8)",0,-0.33
2,7,"(5, 7)",1,-0.33
2,8,"(6, 7)",1,-0.33
2,9,"(7, 7)",1,-0.33
2,10,"(8, 7)",1,-0.33
2,11,"(9, 7)",1,-0.33
2,12,"(10, 7)",1,-0.33
2,13,"(11, 7)",0,-0.33
2,14,"(11, 6)",0,-0.33
2,15,"(11, 5)",1,-0.33
2,16,"(12, 5)",1,-0.33
2,17,"(13, 5)",0,-0.33
2,18,"(13, 4)",0,-0.33
2,19,"(13, 3)",0,-0.33
2,20,"(13, 2)",0,-0.33
2,21,"(13, 1)",1,-0.33
2,22,"(14, 1)",1,-0.33
2,23,"(15, 1)",1,-0.33
2,24,"(16, 1)",1,-0.33
2,25,"(17, 1)",2,-0.33
2,26,"(17, 2)",2,-0.33
2,27,"(17, 3)",1,-0.33
2,28,"(18, 3)",1,-0.33
2,29,"(19, 3)",0,-0.33
2,30,"(19, 2)",0,-0.33
2,31,"(19, 1)",0,33.33
3,0,"(0, 9)",1,-0.33
3,1,"(1, 9)",1,-0.33
3,2,"(2, 9)",1,-0.33
3,3,"(3, 9)",1,-0.33
3,4,"(4, 9)",1,-0.33
3,5,"(5, 9)",1,-0.33
3,6,"(6, 9)",1,-0.33
3,7,"(7, 9)",0,-0.33
3,8,"(7, 8)",0,-0.33
3,9,"(7, 7)",1,-0.33
3,10,"(8, 7)",1,-0.33
3,11,"(9, 7)",1,-0.33
3,12,"(10, 7)",1,-0.33
3,13,"(11, 7)",0,-0.33
3,14,"(11, 6)",0,-0.33
3,15,"(11, 5)",1,-0.33
3,16,"(12, 5)",1,-0.33
3,17,"(13, 5)",0,-0.33
3,18,"(13, 4)",0,-0.33
3,19,"(13, 3)",0,-0.33
3,20,"(13, 2)",0,-0.33
3,21,"(13, 1)",1,-0.33
3,22,"(14, 1)",1,-0.33
3,23,"(15, 1)",1,-0.33
3,24,"(16, 1)",1,-0.33
3,25,"(17, 1)",2,-0.33
3,26,"(17, 2)",2,-0.33
3,27,"(17, 3)",1,-0.33
3,28,"(18, 3)",1,-0.33
3,29,"(19, 3)",0,-0.33
3,30,"(19, 2)",0,-0.33
3,31,"(19, 1)",0,33.33
4,0,"(0, 9)",1,-0.33
4,1,"(1, 9)",1,-0.33
4,2,"(2, 9)",1,-0.33
4,3,"(3, 9)",1,-0.33
4,4,"(4, 9)",1,-0.33
4,5,"(5, 9)",0,-0.33
4,6,"(5, 8)",0,-0.33
4,7,"(5, 7)",1,-0.33
4,8,"(6, 7)",1,-0.33
4,9,"(7, 7)",1,-0.33
4,10,"(8, 7)",1,-0.33
4,11,"(9, 7)",1,-0.33
4,12,"(10, 7)",1,-0.33
4,13,"(11, 7)",0,-0.33
4,14,"(11, 6)",0,-0.33
4,15,"(11, 5)",0,-0.33
4,16,"(11, 4)",0,-0.33
4,17,"(11, 3)",1,-0.33
4,18,"(12, 3)",1,-0.33
4,19,"(13, 3)",0,-0.33
4,20,"(13, 2)",0,-0.33
4,21,"(13, 1)",1,-0.33
4,22,"(14, 1)",1,-0.33
4,23,"(15, 1)",1,-0.33
4,24,"(16, 1)",1,-0.33
4,25,"(17, 1)",2,-0.33
4,26,"(17, 2)",2,-0.33
4,27,"(17, 3)",1,-0.33
4,28,"(18, 3)",1,-0.33
4,29,"(19, 3)",0,-0.33
4,30,"(19, 2)",0,-0.33
4,31,"(19, 1)",0,33.33
5,0,"(0, 9)",1,-0.33
5,1,"(1, 9)",1,-0.33
5,2,"(2, 9)",1,-0.33
5,3,"(3, 9)",1,-0.33
5,4,"(4, 9)",1,-0.33
5,5,"(5, 9)",0,-0.33
5,6,"(5, 8)",0,-0.33
5,7,"(5, 7)",1,-0.33
5,8,"(6, 7)",1,-0.33
5,9,"(7, 7)",1,-0.33
5,10,"(8, 7)",1,-0.33
5,11,"(9, 7)",1,-0.33
5,12,"(10, 7)",1,-0.33
5,13,"(11, 7)",0,-0.33
5,14,"(11, 6)",0,-0.33
5,15,"(11, 5)",0,-0.33
5,16,"(11, 4)",0,-0.33
5,17,"(11, 3)",1,-0.33
5,18,"(12, 3)",1,-0.33
5,19,"(13, 3)",0,-0.33
5,20,"(13, 2)",0,-0.33
5,21,"(13, 1)",1,-0.33
5,22,"(14, 1)",1,-0.33
5,23,"(15, 1)",1,-0.33
5,24,"(16, 1)",1,-0.33
5,25,"(17, 1)",2,-0.33
5,26,"(17, 2)",2,-0.33
5,27,"(17, 3)",1,-0.33
5,28,"(18, 3)",1,-0.33
5,29,"(19, 3)",0,-0.33
5,30,"(19, 2)",0,-0.33
5,31,"(19, 1)",0,33.33
6,0,"(0, 9)",1,-0.33
6,1,"(1, 9)",1,-0.33
6,2,"(2, 9)",1,-0.33
6,3,"(3, 9)",1,-0.33
6,4,"(4, 9)",1,-0.33
6,5,"(5, 9)",0,-0.33
6,6,"(5, 8)",0,-0.33
6,7,"(5, 7)",1,-0.33
6,8,"(6, 7)",1,-0.33
6,9,"(7, 7)",1,-0.33
6,10,"(8, 7)",1,-0.33
6,11,"(9, 7)",1,-0.33
6,12,"(10, 7)",1,-0.33
6,13,"(11, 7)",0,-0.33
6,14,"(11, 6)",0,-0.33
6,15,"(11, 5)",1,-0.33
6,16,"(12, 5)",1,-0.33
6,17,"(13, 5)",0,-0.33
6,18,"(13, 4)",0,-0.33
6,19,"(13, 3)",0,-0.33
6,20,"(13, 2)",0,-0.33
6,21,"(13, 1)",1,-0.33
6,22,"(14, 1)",1,-0.33
6,23,"(15, 1)",1,-0.33
6,24,"(16, 1)",1,-0.33
6,25,"(17, 1)",2,-0.33
6,26,"(17, 2)",2,-0.33
6,27,"(17, 3)",1,-0.33
6,28,"(18, 3)",1,-0.33
6,29,"(19, 3)",0,-0.33
6,30,"(19, 2)",0,-0.33
6,31,"(19, 1)",0,33.33
7,0,"(0, 9)",1,-0.33
7,1,"(1, 9)",1,-0.33
7,2,"(2, 9)",1,-0.33
7,3,"(3, 9)",1,-0.33
7,4,"(4, 9)",1,-0.33
7,5,"(5, 9)",1,-0.33
7,6,"(6, 9)",1,-0.33
7,7,"(7, 9)",0,-0.33
7,8,"(7, 8)",0,-0.33
7,9,"(7, 7)",1,-0.33
7,10,"(8, 7)",1,-0.33
7,11,"(9, 7)",1,-0.33
7,12,"(10, 7)",1,-0.33
7,13,"(11, 7)",0,-0.33
7,14,"(11, 6)",0,-0.33
7,15,"(11, 5)",0,-0.33
7,16,"(11, 4)",0,-0.33
7,17,"(11, 3)",1,-0.33
7,18,"(12, 3)",1,-0.33
7,19,"(13, 3)",0,-0.33
7,20,"(13, 2)",0,-0.33
7,21,"(13, 1)",1,-0.33
7,22,"(14, 1)",1,-0.33
7,23,"(15, 1)",1,-0.33
7,24,"(16, 1)",1,-0.33
7,25,"(17, 1)",2,-0.33
7,26,"(17, 2)",2,-0.33
7,27,"(17, 3)",1,-0.33
7,28,"(18, 3)",1,-0.33
7,29,"(19, 3)",0,-0.33
7,30,"(19, 2)",0,-0.33
7,31,"(19, 1)",0,33.33
8,0,"(0, 9)",1,-0.33
8,1,"(1, 9)",1,-0.33
8,2,"(2, 9)",1,-0.33
8,3,"(3, 9)",1,-0.33
8,4,"(4, 9)",1,-0.33
8,5,"(5, 9)",0,-0.33
8,6,"(5, 8)",0,-0.33
8,7,"(5, 7)",1,-0.33
8,8,"(6, 7)",1,-0.33
8,9,"(7, 7)",1,-0.33
8,10,"(8, 7)",1,-0.33
8,11,"(9, 7)",1,-0.33
8,12,"(10, 7)",1,-0.33
8,13,"(11, 7)",0,-0.33
8,14,"(11, 6)",0,-0.33
8,15,"(11, 5)",0,-0.33
8,16,"(11, 4)",0,-0.33
8,17,"(11, 3)",1,-0.33
8,18,"(12, 3)",1,-0.33
8,19,"(13, 3)",0,-0.33
8,20,"(13, 2)",0,-0.33
8,21,"(13, 1)",1,-0.33
8,22,"(14, 1)",1,-0.33
8,23,"(15, 1)",1,-0.33
8,24,"(16, 1)",1,-0.33
8,25,"(17, 1)",2,-0.33
8,26,"(17, 2)",2,-0.33
8,27,"(17, 3)",1,-0.33
8,28,"(18, 3)",1,-0.33
8,29,"(19, 3)",0,-0.33
8,30,"(19, 2)",0,-0.33
8,31,"(19, 1)",0,33.33
9,0,"(0, 9)",1,-0.33
9,1,"(1, 9)",1,-0.33
9,2,"(2, 9)",1,-0.33
9,3,"(3, 9)",1,-0.33
9,4,"(4, 9)",1,-0.33
9,5,"(5, 9)",1,-0.33
9,6,"(6, 9)",1,-0.33
9,7,"(7, 9)",1,-0.33
9,8,"(8, 9)",1,-0.33
9,9,"(9, 9)",1,-0.33
9,10,"(10, 9)",0,-0.33
9,11,"(10, 8)",0,-0.33
9,12,"(10, 7)",1,-0.33
9,13,"(11, 7)",0,-0.33
9,14,"(11, 6)",0,-0.33
9,15,"(11, 5)",0,-0.33
9,16,"(11, 4)",0,-0.33
9,17,"(11, 3)",1,-0.33
9,18,"(12, 3)",1,-0.33
9,19,"(13, 3)",0,-0.33
9,20,"(13, 2)",0,-0.33
9,21,"(13, 1)",1,-0.33
9,22,"(14, 1)",1,-0.33
9,23,"(15, 1)",1,-0.33
9,24,"(16, 1)",1,-0.33
9,25,"(17, 1)",2,-0.33
9,26,"(17, 2)",2,-0.33
9,27,"(17, 3)",1,-0.33
9,28,"(18, 3)",1,-0.33
9,29,"(19, 3)",0,-0.33
9,30,"(19, 2)",0,-0.33
9,31,"(19, 1)",0,33.33
10,0,"(0, 9)",1,-0.33
10,1,"(1, 9)",1,-0.33
10,2,"(2, 9)",1,-0.33
10,3,"(3, 9)",1,-0.33
10,4,"(4, 9)",1,-0.33
10,5,"(5, 9)",1,-0.33
10,6,"(6, 9)",1,-0.33
10,7,"(7, 9)",0,-0.33
10,8,"(7, 8)",0,-0.33
10,9,"(7, 7)",1,-0.33
10,10,"(8, 7)",1,-0.33
10,11,"(9, 7)",1,-0.33
10,12,"(10, 7)",1,-0.33
10,13,"(11, 7)",0,-0.33
10,14,"(11, 6)",0,-0.33
10,15,"(11, 5)",1,-0.33
10,16,"(12, 5)",1,-0.33
10,17,"(13, 5)",1,-0.33
10,18,"(14, 5)",1,-0.33
10,19,"(15, 5)",0,-0.33
10,20,"(15, 4)",0,-0.33
10,21,"(15, 3)",0,-0.33
10,22,"(15, 2)",0,-0.33
10,23,"(15, 1)",1,-0.33
10,24,"(16, 1)",1,-0.33
10,25,"(17, 1)",2,-0.33
10,26,"(17, 2)",2,-0.33
10,27,"(17, 3)",1,-0.33
10,28,"(18, 3)",1,-0.33
10,29,"(19, 3)",0,-0.33
10,30,"(19, 2)",0,-0.33
10,31,"(19, 1)",0,33.33
11,0,"(0, 9)",1,-0.33
11,1,"(1, 9)",1,-0.33
11,2,"(2, 9)",1,-0.33
11,3,"(3, 9)",1,-0.33
11,4,"(4, 9)",1,-0.33
11,5,"(5, 9)",0,-0.33
11,6,"(5, 8)",0,-0.33
11,7,"(5, 7)",1,-0.33
11,8,"(6, 7)",1,-0.33
11,9,"(7, 7)",1,-0.33
11,10,"(8, 7)",1,-0.33
11,11,"(9, 7)",1,-0.33
11,12,"(10, 7)",1,-0.33
11,13,"(11, 7)",0,-0.33
11,14,"(11, 6)",0,-0.33
11,15,"(11, 5)",0,-0.33
11,16,"(11, 4)",0,-0.33
11,17,"(11, 3)",1,-0.33
11,18,"(12, 3)",1,-0.33
11,19,"(13, 3)",0,-0.33
11,20,"(13, 2)",0,-0.33
11,21,"(13, 1)",1,-0.33
11,22,"(14, 1)",1,-0.33
11,23,"(15, 1)",1,-0.33
11,24,"(16, 1)",1,-0.33
11,25,"(17, 1)",2,-0.33
11,26,"(17, 2)",2,-0.33
11,27,"(17, 3)",1,-0.33
11,28,"(18, 3)",1,-0.33
11,29,"(19, 3)",0,-0.33
11,30,"(19, 2)",0,-0.33
11,31,"(19, 1)",0,33.33
12,0,"(0, 9)",1,-0.33
12,1,"(1, 9)",1,-0.33
12,2,"(2, 9)",1,-0.33
12,3,"(3, 9)",1,-0.33
12,4,"(4, 9)",1,-0.33
12,5,"(5, 9)",0,-0.33
12,6,"(5, 8)",0,-0.33
12,7,"(5, 7)",1,-0.33
12,8,"(6, 7)",1,-0.33
12,9,"(7, 7)",1,-0.33
12,10,"(8, 7)",1,-0.33
12,11,"(9, 7)",1,-0.33
12,12,"(10, 7)",1,-0.33
12,13,"(11, 7)",0,-0.33
12,14,"(11, 6)",0,-0.33
12,15,"(11, 5)",1,-0.33
12,16,"(12, 5)",1,-0.33
12,17,"(13, 5)",0,-0.33
12,18,"(13, 4)",0,-0.33
12,19,"(13, 3)",0,-0.33
12,20,"(13, 2)",0,-0.33
12,21,"(13, 1)",1,-0.33
12,22,"(14, 1)",1,-0.33
12,23,"(15, 1)",1,-0.33
12,24,"(16, 1)",1,-0.33
12,25,"(17, 1)",2,-0.33
12,26,"(17, 2)",2,-0.33
12,27,"(17, 3)",1,-0.33
12,28,"(18, 3)",1,-0.33
12,29,"(19, 3)",0,-0.33
12,30,"(19, 2)",0,-0.33
12,31,"(19, 1)",0,33.33
13,0,"(0, 9)",1,-0.33
13,1,"(1, 9)",1,-0.33
13,2,"(2, 9)",1,-0.33
13,3,"(3, 9)",1,-0.33
13,4,"(4, 9)",1,-0.33
13,5,"(5, 9)",1,-0.33
13,6,"(6, 9)",1,-0.33
13,7,"(7, 9)",1,-0.33
13,8,"(8, 9)",1,-0.33
13,9,"(9, 9)",1,-0.33
13,10,"(10, 9)",1,-0.33
13,11,"(11, 9)",0,-0.33
13,12,"(11, 8)",0,-0.33
13,13,"(11, 7)",0,-0.33
13,14,"(11, 6)",0,-0.33
13,15,"(11, 5)",1,-0.33
13,16,"(12, 5)",1,-0.33
13,17,"(13, 5)",1,-0.33
13,18,"(14, 5)",1,-0.33
13,19,"(15, 5)",0,-0.33
13,20,"(15, 4)",0,-0.33
13,21,"(15, 3)",0,-0.33
13,22,"(15, 2)",0,-0.33
13,23,"(15, 1)",1,-0.33
13,24,"(16, 1)",1,-0.33
13,25,"(17, 1)",2,-0.33
13,26,"(17, 2)",2,-0.33
13,27,"(17, 3)",1,-0.33
13,28,"(18, 3)",1,-0.33
13,29,"(19, 3)",0,-0.33
13,30,"(19, 2)",0,-0.33
13,31,"(19, 1)",0,33.33
14,0,"(0, 9)",1,-0.33
14,1,"(1, 9)",1,-0.33
14,2,"(2, 9)",1,-0.33
14,3,"(3, 9)",1,-0.33
14,4,"(4, 9)",1,-0.33
14,5,"(5, 9)",1,-0.33
